frame,type,pid,team,timestamp
644,dribble,234,A,21.466494933333333
645,dribble,234,A,21.499828
646,dribble,234,A,21.533161066666665
647,dribble,234,A,21.566494133333332
666,dribble,243,A,22.1998224
667,dribble,243,A,22.233155466666666
668,dribble,243,A,22.266488533333334
669,dribble,243,A,22.299821599999998
670,dribble,243,A,22.333154666666665
671,dribble,243,A,22.366487733333333
672,dribble,243,A,22.3998208
673,dribble,243,A,22.433153866666665
674,dribble,243,A,22.466486933333332
675,dribble,243,A,22.49982
737,dribble,255,B,24.566470133333333
738,dribble,255,B,24.5998032
739,dribble,255,B,24.633136266666668
740,dribble,255,B,24.666469333333332
741,dribble,255,B,24.6998024
742,dribble,255,B,24.733135466666667
743,dribble,255,B,24.766468533333335
744,dribble,255,B,24.7998016
745,dribble,255,B,24.833134666666666
746,dribble,255,B,24.866467733333334
747,dribble,255,B,24.8998008
748,dribble,255,B,24.933133866666665
749,dribble,255,B,24.966466933333333
750,dribble,255,B,24.9998
751,dribble,255,B,25.033133066666664
752,dribble,255,B,25.066466133333332
753,dribble,255,B,25.0997992
754,dribble,255,B,25.133132266666667
755,dribble,255,B,25.16646533333333
756,dribble,255,B,25.1997984
